Ãמה;Ìוסÿצ;Îבתול ןנמהאז
2020;1;76736,70317
;2;66754,41103
;3;68140,29177
;4;62152,61089
;5;56780,28527
;6;53331,76181
;7;52147,32036
;8;53673,44049
;9;59271,08209
;10;64614,67742
;11;66150,41067
;12;65067,5665
2021;1;69190,69284
;2;59878,98601
;3;68476,05198
;4;61190,15016
;5;65412,25594
;6;59387,81007
;7;67089,52109
;8;62303,90847
;9;65116,9155
;10;75724,56421
;11;70662,72265
;12;68524,72125
2022;1;77745,38676
;2;69359,30193
;3;97898,92991
;4;76312,47028
;5;68963,91311
;6;56583,19777
;7;62134,86787
;8;57345,90724
;9;57412,95855
;10;71325,11287
;11;66521,68681
;12;63387,24944
