Канал;Supermarkets;;;;;;;;;;;
Диапазон веса;(несколько элементов);;;;;;;;;;;
;;;;;;;;;;;;
Бренд;Год;Месяц;SUM of Сумма (в 1000);;;;;;;;;
Green;;;363473,936;;;;;;;;;
Blue;;;185718,6174;;;;;;;;;
Yellow;;;39355,48101;;;;;;;;;
Rosy;;;15007,81556;;;;;;;;;
Pearl;;;10974,99297;;;;;;;;;
Orange;;;8930,218554;;;;;;;;;
Red;;;6181,536017;;;;;;;;;
Dim;;;3905,176055;;;;;;;;;
Golden;;;3768,259398;;;;;;;;;
Black;;;3336,213176;;;;;;;;;
Vivid;;;1450,920302;;;;;;;;;
Deep;;;1024,676392;;;;;;;;;
Moderate;;;846,202405;;;;;;;;;
Pale;;;605,202926;;;;;;;;;
Rice;;;538,268012;;;;;;;;;
Macaroon;;;344,140954;;;;;;;;;
Snow;;;308,903722;;;;;;;;;
Beige;;;254,084386;;;;;;;;;
Linen;;;198,984905;;;;;;;;;
Cream;;;87,983642;;;;;;;;;
Бренд;Год;Месяц;Объем;;;;;;;;;
Green;2021;1;14 223,73;;;;;;;;;
Green;2021;2;11 474,87;;;;;;;;;
Green;2021;3;13 512,75;;;;;;;;;
Green;2021;4;14 437,11;;;;;;;;;
Green;2021;5;10 703,26;;;;;;;;;
Green;2021;6;10 508,93;;;;;;;;;
Green;2021;7;11 575,01;;;;;;;;;
Green;2021;8;14 394,95;;;;;;;;;
Green;2021;9;15 863,93;;;;;;;;;
Green;2021;10;16 812,60;;;;;;;;;
Green;2021;11;15 456,79;;;;;;;;;
Green;2021;12;15 671,43;;;;;;;;;
Green;2022;1;15 891,32;;;;;;;;;
Green;2022;2;13 757,47;;;;;;;;;
Green;2022;3;20 110,39;;;;;;;;;
Green;2022;4;17 638,77;;;;;;;;;
Green;2022;5;15 921,32;;;;;;;;;
Green;2022;6;13 155,03;;;;;;;;;
Green;2022;7;16 475,98;;;;;;;;;
Green;2022;8;15 224,76;;;;;;;;;
Green;2022;9;14 834,83;;;;;;;;;
Green;2022;10;21 918,82;;;;;;;;;
Green;2022;11;16 220,29;;;;;;;;;
Green;2022;12;17 689,60;;;;;;;;;
Blue;2021;1;8 107,08;;;;;;;;;
Blue;2021;2;4 419,94;;;;;;;;;
Blue;2021;3;6 994,55;;;;;;;;;
Blue;2021;4;4 574,94;;;;;;;;;
Blue;2021;5;7 424,95;;;;;;;;;
Blue;2021;6;4 603,98;;;;;;;;;
Blue;2021;7;6 837,96;;;;;;;;;
Blue;2021;8;6 111,30;;;;;;;;;
Blue;2021;9;7 067,48;;;;;;;;;
Blue;2021;10;9 577,52;;;;;;;;;
Blue;2021;11;8 723,81;;;;;;;;;
Blue;2021;12;7 508,40;;;;;;;;;
Blue;2022;1;9 934,41;;;;;;;;;
Blue;2022;2;6 283,97;;;;;;;;;
Blue;2022;3;14 237,19;;;;;;;;;
Blue;2022;4;8 986,13;;;;;;;;;
Blue;2022;5;6 818,83;;;;;;;;;
Blue;2022;6;6 132,88;;;;;;;;;
Blue;2022;7;7 831,71;;;;;;;;;
Blue;2022;8;7 079,59;;;;;;;;;
Blue;2022;9;6 399,18;;;;;;;;;
Blue;2022;10;9 478,16;;;;;;;;;
Blue;2022;11;11 510,50;;;;;;;;;
Blue;2022;12;9 074,15;;;;;;;;;
Yellow;2021;1;2 073,77;;;;;;;;;
Yellow;2021;2;1 418,48;;;;;;;;;
Yellow;2021;3;1 774,12;;;;;;;;;
Yellow;2021;4;2 209,36;;;;;;;;;
Yellow;2021;5;1 515,28;;;;;;;;;
Yellow;2021;6;1 193,71;;;;;;;;;
Yellow;2021;7;1 759,86;;;;;;;;;
Yellow;2021;8;1 229,76;;;;;;;;;
Yellow;2021;9;2 370,89;;;;;;;;;
Yellow;2021;10;1 156,39;;;;;;;;;
Yellow;2021;11;1 961,30;;;;;;;;;
Yellow;2021;12;1 349,54;;;;;;;;;
Yellow;2022;1;1 335,57;;;;;;;;;
Yellow;2022;2;1 788,13;;;;;;;;;
Yellow;2022;3;2 284,92;;;;;;;;;
Yellow;2022;4;2 037,91;;;;;;;;;
Yellow;2022;5;1 670,17;;;;;;;;;
Yellow;2022;6;998,02;;;;;;;;;
Yellow;2022;7;1 649,09;;;;;;;;;
Yellow;2022;8;1 101,44;;;;;;;;;
Yellow;2022;9;1 815,60;;;;;;;;;
Yellow;2022;10;1 233,11;;;;;;;;;
Yellow;2022;11;1 613,69;;;;;;;;;
Yellow;2022;12;1 815,37;;;;;;;;;
Rosy;2021;5;2 334,21;;;;;;;;;
Rosy;2021;6;2 213,25;;;;;;;;;
Rosy;2021;7;2 130,39;;;;;;;;;
Rosy;2021;8;1 758,46;;;;;;;;;
Rosy;2021;9;930,42;;;;;;;;;
Rosy;2021;10;870,89;;;;;;;;;
Rosy;2021;11;599,37;;;;;;;;;
Rosy;2021;12;348,60;;;;;;;;;
Rosy;2022;1;438,41;;;;;;;;;
Rosy;2022;2;371,03;;;;;;;;;
Rosy;2022;3;420,93;;;;;;;;;
Rosy;2022;4;405,15;;;;;;;;;
Rosy;2022;5;339,50;;;;;;;;;
Rosy;2022;6;410,22;;;;;;;;;
Rosy;2022;7;345,57;;;;;;;;;
Rosy;2022;8;236,26;;;;;;;;;
Rosy;2022;9;376,95;;;;;;;;;
Rosy;2022;10;284,28;;;;;;;;;
Rosy;2022;11;193,93;;;;;;;;;
Pearl;2022;2;410,97;;;;;;;;;
Pearl;2022;3;982,06;;;;;;;;;
Pearl;2022;4;955,54;;;;;;;;;
Pearl;2022;5;934,26;;;;;;;;;
Pearl;2022;6;763,41;;;;;;;;;
Pearl;2022;7;848,27;;;;;;;;;
Pearl;2022;8;1 072,24;;;;;;;;;
Pearl;2022;9;1 071,84;;;;;;;;;
Pearl;2022;10;1 298,68;;;;;;;;;
Pearl;2022;11;1 377,68;;;;;;;;;
Pearl;2022;12;1 260,04;;;;;;;;;
Other;2021;11;150,34;;;;;;;;;
Other;2021;12;173,68;;;;;;;;;
Other;2022;1;261,31;;;;;;;;;
Other;2022;2;756,53;;;;;;;;;
Other;2022;3;1 072,68;;;;;;;;;
Other;2022;4;1 098,94;;;;;;;;;
Other;2022;5;1 070,07;;;;;;;;;
Other;2022;6;570,03;;;;;;;;;
Other;2022;7;597,38;;;;;;;;;
Other;2022;8;514,08;;;;;;;;;
Other;2022;9;477,70;;;;;;;;;
Other;2022;10;724,67;;;;;;;;;
Other;2022;11;672,52;;;;;;;;;
Other;2022;12;790,27;;;;;;;;;
Other;2021;1;341,35;;;;;;;;;
Other;2021;2;229,58;;;;;;;;;
Other;2021;3;481,70;;;;;;;;;
Other;2021;4;283,17;;;;;;;;;
Other;2021;5;316,40;;;;;;;;;
