SUM из ќфтейк (штук на точку);Ѕренд;;;;;;;;;;;
ћес€ц;Green;;;;;;;;;2022 год;Green 350-399G;Blue 400-599G 
1;77;;;;;;;;;€нварь;77;62
2;63;;;;;;;;;февраль;63;52
3;104;;;;;;;;;март;104;67
4;80;;;;;;;;;апрель;80;46
5;63;;;;;;;;;май;63;53
6;84;;;;;;;;;июнь;84;43
7;58;;;;;;;;;июль;58;65
8;48;;;;;;;;;август;48;45
9;66;;;;;;;;;сент€брь;66;63
10;104;;;;;;;;;окт€брь;104;53
11;80;;;;;;;;;но€брь;80;82
12;44;;;;;;;;;декабрь;44;68
;;;;;;;;;;;;
√од;2022;;;;;;;;;;;
 анал;Hypermarkets;;;;;;;;;;;
ƒиапазон веса;400-599G;;;;;;;;;;;
;;;;;;;;;;;;
SUM of ќфтейк (штук на точку);Ѕренд;;;;;;;;;;;
ћес€ц;Blue;;;;;;;;;;;
1;61,71524725;;;;;;;;;;;
2;51,65677233;;;;;;;;;;;
3;66,97333333;;;;;;;;;;;
4;46,02890995;;;;;;;;;;;
5;52,66841294;;;;;;;;;;;
6;42,81194969;;;;;;;;;;;
7;64,64401914;;;;;;;;;;;
8;45,21223833;;;;;;;;;;;
9;62,64839228;;;;;;;;;;;
10;52,51255962;;;;;;;;;;;
11;82,43182527;;;;;;;;;;;
12;67,81723577;;;;;;;;;;;
