ћес€ц;Ѕренд;ƒиапазон веса;—умма (в 1000);ќфтейк (штук на точку);÷ена за грамм
1;Green;350-399G;5 622,58;77;0,26
1;Green;400-599G;4 457,22;61;0,23
1;Blue;400-599G;7 611,56;62;0,34
2;Green;350-399G;4 702,00;63;0,27
2;Green;400-599G;3 969,20;51;0,25
2;Blue;400-599G;5 962,64;52;0,33
3;Green;350-399G;7 356,76;104;0,27
3;Green;400-599G;6 568,25;90;0,24
3;Blue;400-599G;9 020,89;67;0,40
4;Green;350-399G;5 684,18;80;0,28
4;Green;400-599G;3 564,35;48;0,28
4;Blue;400-599G;6 304,31;46;0,43
5;Green;350-399G;4 568,31;63;0,29
5;Green;400-599G;4 738,78;70;0,25
5;Blue;400-599G;6 829,43;53;0,40
6;Green;350-399G;5 681,50;84;0,27
6;Green;400-599G;2 922,40;41;0,26
6;Blue;400-599G;5 610,05;43;0,41
7;Green;350-399G;4 003,45;58;0,28
7;Green;400-599G;3 206,17;45;0,26
7;Blue;400-599G;7 236,98;65;0,36
8;Green;350-399G;3 368,87;48;0,29
8;Green;400-599G;3 372,17;53;0,26
8;Blue;400-599G;5 767,14;45;0,41
9;Blue;400-599G;7 477,97;63;0,38
9;Green;350-399G;3 683,35;66;0,27
9;Green;400-599G;2 658,16;44;0,26
10;Green;350-399G;5 995,71;104;0,25
10;Green;400-599G;4 346,87;67;0,25
10;Blue;400-599G;6 797,68;53;0,41
11;Blue;400-599G;9 408,44;82;0,36
11;Green;350-399G;4 540,57;80;0,24
11;Green;400-599G;3 393,64;52;0,25
12;Blue;400-599G;7 988,05;68;0,38
12;Green;350-399G;3 098,27;44;0,31
12;Green;400-599G;3 720,11;59;0,25
;;;;;
—умма в 1000;;;;;
мес€ц;Green 350-399G;Blue 400-599G;;;
€нварь;5 622,58;7 611,56;;;
февраль;4 702,00;5 962,64;;;
март;7 356,76;9 020,89;;;
апрель;5 684,18;6 304,31;;;
май;4 568,31;6 829,43;;;
июнь;5 681,50;5 610,05;;;
июль;4 003,45;7 236,98;;;
август;3 368,87;5 767,14;;;
сент€брь;3 683,35;7 477,97;;;
окт€брь;5 995,71;6 797,68;;;
но€брь;4 540,57;9 408,44;;;
декабрь;3 098,27;7 988,05;;;
;;;;;
;;;;;
ќфтейк;;;;;
мес€ц;Green 350-399G;Blue 400-599G;;;
€нварь;77;62;;;
февраль;63;52;;;
март;104;67;;;
апрель;80;46;;;
май;63;53;;;
июнь;84;43;;;
июль;58;65;;;
август;48;45;;;
сент€брь;66;63;;;
окт€брь;104;53;;;
но€брь;80;82;;;
декабрь;44;68;;;
;;;;;
;;;;;
÷ена за грамм;;;;;
мес€ц;Green 350-399G;Blue 400-599G;;;
€нварь;0,26;0,34;;;
февраль;0,27;0,33;;;
март;0,27;0,40;;;
апрель;0,28;0,43;;;
май;0,29;0,40;;;
июнь;0,27;0,41;;;
июль;0,28;0,36;;;
август;0,29;0,41;;;
сент€брь;0,27;0,38;;;
окт€брь;0,25;0,41;;;
но€брь;0,24;0,36;;;
декабрь;0,31;0,38;;;
