Бренд;Green;;;;Цена за грамм ;Дата
Диапазон веса;100-199G;;;;0,00;01.10.2020
Канал;Hypermarkets;;;;0,00;01.11.2020
;;;;;0,00;01.12.2020
;;;;;0,00;01.01.2021
Год;Месяц;SUM of Сумма (в 1000);AVERAGE of Офтейк (штук на точку);AVERAGE of Цена за грамм;#ЗНАЧ!;01.02.2021
2020;10;41,856;59,63846154;0,361116012;36,11;01.03.2021
;11;173,9148;14,45321637;0,470689743;47,07;01.04.2021
;12;2267,3183;78,86303419;0,410914972;41,09;01.05.2021
2021;1;2078,5833;61,02152642;0,445884396;44,59;01.06.2021
;2;1726,978;50,171949;0,419384423;41,94;01.07.2021
;3;1670,2214;45,98618785;0,447409924;44,74;01.08.2021
;4;1358,9363;35,56777164;0,470653638;47,07;01.09.2021
;5;1451,1396;41,96103896;0,429173604;42,92;01.10.2021
;6;1271,7483;34,26564626;0,422205338;42,22;01.11.2021
;7;1472,9105;37,49738752;0,381342257;38,13;01.12.2021
;8;1174,4153;29,6882263;0,404593133;40,46;01.01.2022
;9;1100,4579;31,29058615;0,417840129;41,78;01.02.2022
;10;833,8938;25,6457265;0,464738544;46,47;01.03.2022
;11;894,7549;28,66355748;0,452930824;45,29;01.04.2022
;12;748,8579;24,74369159;0,472987823;47,30;01.05.2022
2022;1;732,9798;24,46155718;0,487668711;48,77;01.06.2022
;2;666,1454;24,97780612;0,455079721;45,51;01.07.2022
;3;1111,4856;47,91533923;0,457707873;45,77;01.08.2022
;4;577,6599;23,73151125;0,523534424;52,35;01.09.2022
;5;551,1929;21,91442308;0,539234644;53,92;01.10.2022
;6;460,8189;18,24761905;0,536256205;53,63;01.11.2022
;7;432,3733;18,1073955;0,513571953;51,36;01.12.2022
;8;350,6479;16,93118644;0,469591948;;
;9;175,3501;18,18441558;0,418836726;;
;10;42,9389;12,62173913;0,494689498;;
;11;37,7528;14,64722222;0,478905918;;
;12;14,3406;7,95;0,54844909;;
