Год;Месяц;Канал;Бренд;Диапазон веса;Сумма (в 1000);Штуки (в 1000 шт);Штуки (в шт);Точки;Офтейк (штук на точку);Цена за штуку;Средний вес;Цена за грамм; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2020;1;Hypermarkets;Green;200-249G;936,80;16,32;16320;477;34;57,40;224,5;0,26;;;;;;;;;;;;;;
2020;1;Hypermarkets;Green;350-399G;7 019,12;87,86;87863;754;117;79,89;374,5;0,21;;;;;;;;;;;;;;
2020;1;Hypermarkets;Green;400-599G;4 166,45;35,72;35718;629;57;116,65;499,5;0,23;;;;;;;;;;;;;;
2020;1;Hypermarkets;Green;600-899G;66,39;0,36;358;29;12;185,44;749,5;0,25;;;;;;;;;;;;;;
2020;1;Hypermarkets;Blue;400-599G;3 227,99;16,84;16837;663;25;191,72;499,5;0,38;;;;;;;;;;;;;;
2020;1;Hypermarkets;Black;200-249G;573,13;10,06;10064;547;18;56,95;224,5;0,25;;;;;;;;;;;;;;
2020;1;Hypermarkets;Black;400-599G;559,44;5,12;5122;325;16;109,22;499,5;0,22;;;;;;;;;;;;;;
2020;1;Hypermarkets;White;<200G;328,76;3,49;3486;96;36;94,32;200;0,47;;;;;;;;;;;;;;
2020;1;Hypermarkets;Red;350-399G;253,64;1,69;1693;95;18;149,83;374,5;0,40;;;;;;;;;;;;;;
2020;1;Hypermarkets;Yellow;350-399G;200,76;2,83;2831;191;15;70,91;374,5;0,19;;;;;;;;;;;;;;
2020;1;Hypermarkets;Orange;250-299G;2,20;0,01;7;4;2;323,63;274,5;1,18;;;;;;;;;;;;;;
2020;1;Hypermarkets;Orange;400-599G;71,03;0,56;565;78;7;125,76;499,5;0,25;;;;;;;;;;;;;;
2020;1;Hypermarkets;Purple;400-599G;61,81;0,24;242;96;3;255,39;499,5;0,51;;;;;;;;;;;;;;
2020;1;Hypermarkets;Pink;<200G;56,15;0,37;371;1;371;151,48;200;0,76;;;;;;;;;;;;;;
2020;1;Hypermarkets;Brown;400-599G;50,77;0,32;321;1;321;158,16;499,5;0,32;;;;;;;;;;;;;;
2020;1;Minimarkets;Green;200-249G;4 050,04;66,72;66723;7561;9;60,70;224,5;0,27;;;;;;;;;;;;;;
2020;1;Minimarkets;Green;300-349G;0,13;0,00;1;1;1;103,85;324,5;0,32;;;;;;;;;;;;;;
2020;1;Minimarkets;Green;350-399G;7 036,26;77,97;77970;8754;9;90,24;374,5;0,24;;;;;;;;;;;;;;
2020;1;Minimarkets;Green;400-599G;1 087,97;7,86;7861;1426;6;138,40;499,5;0,28;;;;;;;;;;;;;;
2020;1;Minimarkets;Green;600-899G;109,49;0,60;603;277;2;181,73;749,5;0,24;;;;;;;;;;;;;;
2020;1;Minimarkets;Yellow;350-399G;3 000,96;52,79;52790;5948;9;56,85;374,5;0,15;;;;;;;;;;;;;;
2020;1;Minimarkets;Blue;400-599G;2 169,31;14,21;14213;1776;8;152,63;499,5;0,31;;;;;;;;;;;;;;
2020;1;Minimarkets;Black;200-249G;319,95;4,34;4337;1627;3;73,78;224,5;0,33;;;;;;;;;;;;;;
2020;1;Minimarkets;Black;400-599G;234,20;1,61;1609;514;3;145,57;499,5;0,29;;;;;;;;;;;;;;
2020;1;Minimarkets;Red;350-399G;207,23;1,26;1256;355;4;165,01;374,5;0,44;;;;;;;;;;;;;;
2020;1;Minimarkets;White;<200G;177,54;2,10;2096;298;7;84,70;200;0,42;;;;;;;;;;;;;;
2020;1;Minimarkets;Grey;350-399G;119,60;0,52;524;71;7;228,06;374,5;0,61;;;;;;;;;;;;;;
2020;1;Minimarkets;Pale;<200G;0,93;0,00;2;2;1;422,79;200;2,11;;;;;;;;;;;;;;
2020;1;Minimarkets;Pale;400-599G;108,54;0,34;342;49;7;317,74;499,5;0,64;;;;;;;;;;;;;;
2020;1;Minimarkets;Pastel;250-299G;51,91;1,08;1078;613;2;48,14;274,5;0,18;;;;;;;;;;;;;;
2020;1;Minimarkets;Mat;400-599G;43,14;0,48;480;1;480;89,89;499,5;0,18;;;;;;;;;;;;;;
2020;1;Supermarkets;Green;200-249G;8 930,87;173,17;173169;11568;15;51,57;224,5;0,23;;;;;;;;;;;;;;
2020;1;Supermarkets;Green;350-399G;9 457,40;109,40;109404;8553;13;86,44;374,5;0,23;;;;;;;;;;;;;;
2020;1;Supermarkets;Green;400-599G;4 901,08;41,83;41832;2638;16;117,16;499,5;0,23;;;;;;;;;;;;;;
2020;1;Supermarkets;Green;600-899G;15,31;0,08;81;53;2;189,74;749,5;0,25;;;;;;;;;;;;;;
2020;1;Supermarkets;Blue;400-599G;9 564,40;66,14;66142;5157;13;144,60;499,5;0,29;;;;;;;;;;;;;;
2020;1;Supermarkets;Yellow;350-399G;3 197,05;55,34;55338;6724;8;57,77;374,5;0,15;;;;;;;;;;;;;;
2020;1;Supermarkets;Black;200-249G;1 090,34;19,57;19567;3312;6;55,72;224,5;0,25;;;;;;;;;;;;;;
2020;1;Supermarkets;Black;400-599G;918,31;7,07;7074;1118;6;129,81;499,5;0,26;;;;;;;;;;;;;;
2020;1;Supermarkets;Red;350-399G;811,85;5,57;5575;719;8;145,63;374,5;0,39;;;;;;;;;;;;;;
2020;1;Supermarkets;Pale;<200G;3,02;0,01;9;11;1;343,34;200;1,72;;;;;;;;;;;;;;
2020;1;Supermarkets;Pale;400-599G;489,02;1,73;1735;223;8;281,90;499,5;0,56;;;;;;;;;;;;;;
2020;1;Supermarkets;Deep;<200G;387,54;1,35;1349;111;12;287,36;200;1,44;;;;;;;;;;;;;;
2020;1;Supermarkets;Deep;350-399G;10,50;0,03;31;7;4;334,32;374,5;0,89;;;;;;;;;;;;;;
2020;1;Supermarkets;Deep;400-599G;36,07;0,07;73;51;1;491,42;499,5;0,98;;;;;;;;;;;;;;
2020;1;Supermarkets;White;<200G;241,68;3,19;3191;179;18;75,73;200;0,38;;;;;;;;;;;;;;
2020;1;Supermarkets;Dim;350-399G;25,31;0,06;55;1;55;456,81;374,5;1,22;;;;;;;;;;;;;;
2020;1;Supermarkets;Dim;400-599G;174,92;0,32;319;1;319;547,67;499,5;1,10;;;;;;;;;;;;;;
2020;1;Supermarkets;Vivid;<200G;46,28;0,34;341;63;5;135,92;200;0,68;;;;;;;;;;;;;;
2020;1;Supermarkets;Vivid;350-399G;144,10;0,75;749;67;11;192,41;374,5;0,51;;;;;;;;;;;;;;
2020;2;Hypermarkets;Green;200-249G;902,02;15,44;15444;479;32;58,40;224,5;0,26;;;;;;;;;;;;;;
2020;2;Hypermarkets;Green;350-399G;5 267,69;61,99;61995;771;80;84,97;374,5;0,23;;;;;;;;;;;;;;
2020;2;Hypermarkets;Green;400-599G;5 737,80;52,07;52065;648;80;110,20;499,5;0,22;;;;;;;;;;;;;;
2020;2;Hypermarkets;Green;600-899G;61,34;0,33;327;23;14;187,58;749,5;0,25;;;;;;;;;;;;;;
2020;2;Hypermarkets;Blue;400-599G;3 177,91;15,80;15798;668;24;201,16;499,5;0,40;;;;;;;;;;;;;;
2020;2;Hypermarkets;Black;200-249G;874,32;16,15;16150;525;31;54,14;224,5;0,24;;;;;;;;;;;;;;
2020;2;Hypermarkets;Black;400-599G;443,56;3,44;3437;319;11;129,04;499,5;0,26;;;;;;;;;;;;;;
2020;2;Hypermarkets;White;<200G;306,88;3,14;3144;89;35;97,62;200;0,49;;;;;;;;;;;;;;
2020;2;Hypermarkets;Red;350-399G;281,49;1,85;1853;93;20;151,92;374,5;0,41;;;;;;;;;;;;;;
2020;2;Hypermarkets;Yellow;350-399G;184,94;2,48;2481;168;15;74,54;374,5;0,20;;;;;;;;;;;;;;
2020;2;Hypermarkets;Orange;250-299G;2,00;0,01;6;4;2;323,34;274,5;1,18;;;;;;;;;;;;;;
2020;2;Hypermarkets;Orange;400-599G;106,30;0,87;874;118;7;121,57;499,5;0,24;;;;;;;;;;;;;;
2020;2;Hypermarkets;Purple;400-599G;57,97;0,23;235;93;3;247,19;499,5;0,49;;;;;;;;;;;;;;
2020;2;Hypermarkets;Pink;<200G;50,76;0,33;332;1;332;152,94;200;0,76;;;;;;;;;;;;;;
2020;2;Hypermarkets;Brown;400-599G;46,51;0,29;289;71;4;161,03;499,5;0,32;;;;;;;;;;;;;;
2020;2;Minimarkets;Green;200-249G;3 973,24;67,52;67520;8131;8;58,85;224,5;0,26;;;;;;;;;;;;;;
2020;2;Minimarkets;Green;300-349G;2,72;0,03;33;16;2;83,59;324,5;0,26;;;;;;;;;;;;;;
2020;2;Minimarkets;Green;350-399G;6 994,83;74,31;74314;9411;8;94,13;374,5;0,25;;;;;;;;;;;;;;
2020;2;Minimarkets;Green;400-599G;839,26;6,03;6031;1291;5;139,17;499,5;0,28;;;;;;;;;;;;;;
2020;2;Minimarkets;Green;600-899G;79,27;0,43;433;279;2;183,15;749,5;0,24;;;;;;;;;;;;;;
2020;2;Minimarkets;Yellow;350-399G;2 210,36;39,95;39955;5524;7;55,32;374,5;0,15;;;;;;;;;;;;;;
2020;2;Minimarkets;Blue;400-599G;1 969,56;11,62;11616;1919;6;169,56;499,5;0,34;;;;;;;;;;;;;;
2020;2;Minimarkets;Black;200-249G;195,34;2,70;2697;1549;2;72,42;224,5;0,32;;;;;;;;;;;;;;
2020;2;Minimarkets;Black;400-599G;203,57;1,16;1156;518;2;176,14;499,5;0,35;;;;;;;;;;;;;;
2020;2;Minimarkets;Red;350-399G;178,41;1,05;1045;253;4;170,73;374,5;0,46;;;;;;;;;;;;;;
2020;2;Minimarkets;Pale;<200G;22,85;0,07;67;51;1;341,11;200;1,71;;;;;;;;;;;;;;
2020;2;Minimarkets;Pale;400-599G;131,38;0,42;419;84;5;313,86;499,5;0,63;;;;;;;;;;;;;;
2020;2;Minimarkets;White;<200G;91,41;1,03;1026;233;4;89,11;200;0,45;;;;;;;;;;;;;;
2020;2;Minimarkets;Orange;400-599G;40,45;0,35;351;282;1;115,32;499,5;0,23;;;;;;;;;;;;;;
2020;2;Minimarkets;Vivid;<200G;3,24;0,02;23;1;23;142,66;200;0,71;;;;;;;;;;;;;;
2020;2;Minimarkets;Vivid;350-399G;36,29;0,18;183;1;183;198,22;374,5;0,53;;;;;;;;;;;;;;
2020;2;Minimarkets;Virulent;300-349G;27,98;0,15;153;1;153;182,61;324,5;0,56;;;;;;;;;;;;;;
2020;2;Minimarkets;Virulent;400-599G;2,72;0,03;30;1;30;92,10;499,5;0,18;;;;;;;;;;;;;;
2020;2;Supermarkets;Green;200-249G;6 261,83;124,27;124271;9957;12;50,39;224,5;0,22;;;;;;;;;;;;;;
2020;2;Supermarkets;Green;350-399G;10 193,83;112,82;112819;8768;13;90,36;374,5;0,24;;;;;;;;;;;;;;
2020;2;Supermarkets;Green;400-599G;3 303,86;25,19;25191;2631;10;131,15;499,5;0,26;;;;;;;;;;;;;;
2020;2;Supermarkets;Green;600-899G;16,05;0,08;84;53;2;190,41;749,5;0,25;;;;;;;;;;;;;;
2020;2;Supermarkets;Blue;400-599G;5 580,49;30,87;30867;3891;8;180,79;499,5;0,36;;;;;;;;;;;;;;
2020;2;Supermarkets;Yellow;350-399G;2 388,34;43,39;43391;6143;7;55,04;374,5;0,15;;;;;;;;;;;;;;
2020;2;Supermarkets;Black;200-249G;564,16;9,44;9440;2546;4;59,76;224,5;0,27;;;;;;;;;;;;;;
2020;2;Supermarkets;Black;400-599G;824,08;5,22;5215;1193;4;158,01;499,5;0,32;;;;;;;;;;;;;;
2020;2;Supermarkets;Red;350-399G;1 386,74;10,98;10984;919;12;126,25;374,5;0,34;;;;;;;;;;;;;;
2020;2;Supermarkets;Pale;<200G;6,43;0,02;18;13;1;367,62;200;1,84;;;;;;;;;;;;;;
2020;2;Supermarkets;Pale;400-599G;520,28;1,80;1803;238;8;288,57;499,5;0,58;;;;;;;;;;;;;;
2020;2;Supermarkets;Deep;<200G;457,74;1,74;1739;118;15;263,30;200;1,32;;;;;;;;;;;;;;
2020;2;Supermarkets;Deep;350-399G;13,11;0,04;40;8;5;330,24;374,5;0,88;;;;;;;;;;;;;;
2020;2;Supermarkets;Deep;400-599G;33,71;0,07;69;41;2;492,07;499,5;0,99;;;;;;;;;;;;;;
2020;2;Supermarkets;Moderate;<200G;0,21;0,00;2;4;0;131,83;200;0,66;;;;;;;;;;;;;;
2020;2;Supermarkets;Moderate;350-399G;287,87;2,23;2233;151;15;128,94;374,5;0,34;;;;;;;;;;;;;;
2020;2;Supermarkets;Dim;350-399G;24,11;0,05;53;1;53;458,30;374,5;1,22;;;;;;;;;;;;;;
2020;2;Supermarkets;Dim;400-599G;205,55;0,40;398;1;398;516,97;499,5;1,03;;;;;;;;;;;;;;
2020;2;Supermarkets;Glossy;300-349G;34,83;0,18;184;1;184;189,10;324,5;0,58;;;;;;;;;;;;;;
2020;2;Supermarkets;Glossy;400-599G;146,81;0,32;319;1;319;459,78;499,5;0,92;;;;;;;;;;;;;;
2020;3;Hypermarkets;Green;200-249G;928,93;15,75;15752;481;33;58,97;224,5;0,26;;;;;;;;;;;;;;
2020;3;Hypermarkets;Green;350-399G;9 105,21;116,75;116751;776;150;77,99;374,5;0,21;;;;;;;;;;;;;;
2020;3;Hypermarkets;Green;400-599G;5 049,82;44,65;44650;664;67;113,10;499,5;0,23;;;;;;;;;;;;;;
2020;3;Hypermarkets;Green;600-899G;58,31;0,31;308;23;13;189,56;749,5;0,25;;;;;;;;;;;;;;
2020;3;Hypermarkets;Blue;400-599G;3 529,61;17,33;17331;668;26;203,66;499,5;0,41;;;;;;;;;;;;;;
2020;3;Hypermarkets;Black;200-249G;677,02;11,62;11619;513;23;58,27;224,5;0,26;;;;;;;;;;;;;;
